"","pvus=0.1","pvus=0.2","pvus=0.3"
"1",0.0774999999999997,0.166875,0.14203125
"2",0.0284374999999997,0.0489062499999997,0.0812499999999997
"3",0.13984375,0.1090625,0.109375
"4",0.1075,0.111875,0.11515625
"5",0.1078125,0.0840624999999997,0.0996874999999998
"6",0.0973437499999998,0.1065625,0.0931249999999997
"7",0.10375,0.0687499999999997,0.0460937499999997
"8",0.1034375,0.1046875,0.12671875
"9",0.1159375,0.0887499999999997,0.0721874999999997
"10",0.0956249999999998,0.0810937499999997,0.0960937499999998
"11",0.105,0.0803124999999997,0.1259375
"12",0.1484375,0.0990624999999997,0.11
"13",0.0576562499999997,0.126875,0.14125
"14",0.0959374999999998,0.104375,0.0774999999999997
"15",0.0624999999999997,0.0603124999999997,0.0593749999999997
"16",0.0787499999999997,0.13125,0.0834374999999997
"17",0.0981249999999998,0.0937499999999998,0.11
"18",0.0779687499999997,0.0832812499999998,0.0859374999999998
"19",0.1215625,0.1121875,0.105625
"20",0.0812499999999997,0.0837499999999997,0.12
"21",0.1421875,0.0942187499999997,0.12375
"22",0.10375,0.0993749999999998,0.0984374999999998
"23",0.0912499999999997,0.0618749999999997,0.0928124999999997
"24",0.10296875,0.0734374999999997,0.1096875
"25",0.11125,0.0660937499999997,0.10515625
"26",0.0934374999999998,0.1134375,0.115625
"27",0.10828125,0.1253125,0.0999999999999998
"28",0.0981249999999998,0.11828125,0.10703125
"29",0.0874999999999997,0.14,0.1025
"30",0.1015625,0.0937499999999998,0.1078125
"31",0.143125,0.0973437499999998,0.0787499999999997
"32",0.1125,0.0823437499999997,0.0671874999999997
"33",0.1253125,0.0824999999999997,0.1053125
"34",0.0778124999999997,0.0793749999999997,0.0632812499999997
"35",0.0912499999999997,0.1215625,0.1003125
"36",0.10140625,0.126875,0.14625
"37",0.0879687499999997,0.0593749999999997,0.0685937499999997
"38",0.0490624999999997,0.1015625,0.0990624999999997
"39",0.0884374999999998,0.0865624999999997,0.1078125
"40",0.0646874999999997,0.0801562499999997,0.1159375
"41",0.0907812499999998,0.0757812499999997,0.1065625
"42",0.0501562499999997,0.0843749999999997,0.1103125
"43",0.0578124999999997,0.12359375,0.0898437499999998
"44",0.0746874999999997,0.125625,0.0937499999999998
"45",0.128125,0.0893749999999997,0.1121875
"46",0.00609374999999967,0.0865624999999997,0.0728124999999997
"47",0.11375,0.1021875,0.1084375
"48",0.124375,0.0956249999999998,0.12765625
"49",0.0853124999999997,0.0399999999999997,0.0996874999999998
"50",0.1646875,0.0931249999999997,0.1125
"51",0.0190624999999997,0.0703124999999997,0.0962499999999998
"52",0.16625,0.1021875,0.1009375
"53",0.0554687499999997,0.0974999999999998,0.0995312499999998
"54",0.11625,0.0843749999999997,0.0674999999999997
"55",0.148125,0.1003125,0.1046875
"56",0.1378125,0.0971874999999998,0.12625
"57",0.0612499999999997,0.13421875,0.10375
"58",0.11578125,0.0981249999999998,0.10859375
"59",0.101875,0.0792187499999997,0.10296875
"60",0.0771874999999997,0.0871874999999998,0.0856249999999997
"61",0.1115625,0.0553124999999997,0.0999999999999998
"62",0.0595312499999997,0.0601562499999997,0.100625
"63",0.0903124999999997,0.1125,0.0846874999999997
"64",0.0635937499999997,0.0593749999999997,0.1084375
"65",0.0532812499999997,0.0549999999999997,0.105625
"66",0.0912499999999997,0.11296875,0.1296875
"67",0.0840624999999997,0.1078125,0.105
"68",0.14484375,0.129375,0.0945312499999998
"69",0.11359375,0.12546875,0.114375
"70",0.0821874999999997,0.0865624999999997,0.0781249999999997
"71",0.13,0.0714062499999997,0.143125
"72",0.0987499999999998,0.1646875,0.1178125
"73",0.12875,0.0993749999999998,0.0968749999999998
"74",0.11,0.0981249999999998,0.1009375
"75",0.0914062499999997,0.118125,0.0771874999999997
"76",0.1225,0.0462499999999997,0.1103125
"77",0.1075,0.10078125,0.1534375
"78",0.0571874999999997,0.0631249999999997,0.1284375
"79",0.12640625,0.0743749999999997,0.100625
"80",0.0962499999999998,0.12828125,0.125
"81",0.165,0.11609375,0.100625
"82",0.11375,0.0760937499999997,0.1046875
"83",0.100625,0.0589062499999997,0.0815624999999997
"84",0.1103125,0.0806249999999997,0.118125
