"","x"
"1",0.102265625
"2",0.0984375000000004
"3",0.0995312500000004
"4",0.0995312500000004
"5",0.100078125
"6",0.100078125
"7",0.1019921875
"8",0.0984375000000004
"9",0.1008984375
"10",0.101171875
"11",0.1008984375
"12",0.0995312500000004
"13",0.0980273437500004
"14",0.10171875
"15",0.0989843750000004
"16",0.0984375000000004
"17",0.102265625
"18",0.0993945312500004
"19",0.0984375000000004
"20",0.10021484375
"21",0.0985742187500004
"22",0.1014453125
"23",0.100625
"24",0.101171875
"25",0.0989843750000004
"26",0.100625
"27",0.0999414062500004
"28",0.0998046875000004
"29",0.1003515625
"30",0.100625
"31",0.0995312500000004
"32",0.0989843750000004
"33",0.0992578125000004
"34",0.0995312500000004
"35",0.0976171875000004
"36",0.1014453125
"37",0.0978906250000004
"38",0.1028125
"39",0.100625
"40",0.0984375000000004
"41",0.10185546875
"42",0.0998046875000004
"43",0.0995312500000004
"44",0.0995312500000004
"45",0.1014453125
"46",0.10021484375
"47",0.0989843750000004
"48",0.1008984375
"49",0.0984375000000004
"50",0.0998046875000004
