"","theta=0.01","theta=0.05","theta=0.1","theta=0.2"
"1",0.1430078125,0.1495703125,0.159140625,0.18634765625
"2",0.0809375000000004,0.0817578125000004,0.0861328125000004,0.0981640625000004
"3",0.1107421875,0.12044921875,0.1156640625,0.2015234375
"4",0.11703125,0.1227734375,0.132890625,0.1616015625
"5",0.1003515625,0.109921875,0.127421875,0.20384765625
"6",0.0954296875000004,0.0924218750000004,0.0959765625000004,0.2037109375
"7",0.0490820312500004,0.0574218750000004,0.0459375000000004,0.0687011718750004
"8",0.126328125,0.124140625,0.13125,0.159482421875
"9",0.0710937500000004,0.0798437500000004,0.0992578125000004,0.1378125
"10",0.0962500000000004,0.0937890625000004,0.10171875,0.12359375
"11",0.1271484375,0.13234375,0.14765625,0.189560546875
"12",0.111015625,0.111015625,0.125234375,0.18552734375
"13",0.1369921875,0.143828125,0.159140625,0.14984375
"14",0.0790234375000004,0.0950195312500004,0.1211328125,0.20494140625
"15",0.0612500000000004,0.0812109375000004,0.0563281250000004,0.1282421875
"16",0.0861328125000004,0.0943359375000004,0.0929687500000004,0.0694531250000004
"17",0.109375,0.103359375,0.1118359375,0.177119140625
"18",0.0875000000000004,0.0933789062500004,0.1129296875,0.1779052734375
"19",0.1071875,0.1159375,0.1173046875,0.120859375
"20",0.1189453125,0.1222265625,0.13125,0.136171875
"21",0.124140625,0.1225,0.135078125,0.1714453125
"22",0.0984375000000004,0.10390625,0.1014453125,0.1290625
"23",0.0935156250000004,0.0976171875000004,0.0854492187500004,0.147314453125
"24",0.1096484375,0.1101953125,0.123046875,0.2034375
"25",0.10390625,0.111015625,0.1074609375,0.0978906250000004
"26",0.11375,0.108828125,0.112109375,0.11703125
"27",0.0981640625000004,0.0937890625000004,0.109375,0.190244140625
"28",0.1058203125,0.1167578125,0.12865234375,0.163310546875
"29",0.1063671875,0.109921875,0.0862695312500004,0.19796875
"30",0.0790234375000004,0.10923828125,0.1041796875,0.205009765625
"31",0.0700000000000004,0.0879101562500004,0.105546875,0.1501171875
"32",0.10828125,0.0727343750000004,0.10841796875,0.1982421875
"33",0.0678125000000004,0.10021484375,0.121953125,0.203642578125
"34",0.1025390625,0.0675390625000004,0.0538671875000004,0.15626953125
"35",0.14875,0.106640625,0.111015625,0.11798828125
"36",0.0710937500000004,0.1375390625,0.14,0.150390625
"37",0.10349609375,0.0617968750000004,0.0827148437500004,0.114638671875
"38",0.1085546875,0.10869140625,0.12578125,0.170283203125
"39",0.1167578125,0.1028125,0.0965234375000004,0.1203125
"40",0.108828125,0.118671875,0.1244140625,0.179580078125
"41",0.1123828125,0.116484375,0.128515625,0.1421875
"42",0.0866796875000004,0.109921875,0.1203125,0.153125
"43",0.0929687500000004,0.0974804687500004,0.121953125,0.144921875
"44",0.10951171875,0.0903710937500004,0.11607421875,0.2037451171875
"45",0.0749218750000004,0.11251953125,0.1203125,0.0937890625000004
"46",0.109375,0.0843554687500004,0.112109375,0.13794921875
"47",0.12140625,0.105546875,0.11265625,0.16296875
"48",0.126875,0.12947265625,0.13439453125,0.1640625
"49",0.0572851562500004,0.0757421875000004,0.1069140625,0.2031298828125
"50",0.0954296875000004,0.0962500000000004,0.101171875,0.185390625
"51",0.109921875,0.108828125,0.12140625,0.1922265625
"52",0.0951562500000004,0.101171875,0.1112890625,0.14587890625
"53",0.102265625,0.115390625,0.12892578125,0.12578125
